S5E,SSMI,IBEX,GDAXI,FTSE,FCHI,BFX,AEX,SSEC,NSEI,N225,KSE,KS11,HSI,BSESN,AORD,SPX,RUT,MXX,IXIC,DJI,BVSP
0.27924508933078945,0.22263651002189885,0.2201660741275346,0.2711723893708279,0.24650940479479533,0.25965119681492105,0.2226744620456254,0.261756890584412,0.07343091136142642,0.09550894736453525,0.1646664990114225,0.01060686246786658,0.14319726564702945,0.12382656841427672,0.1182817878945898,0.1563670368401815,0.2653193361620836,0.1752473434872604,0.12425056268243172,0.22582005347337025,0.2557283173706051,0.13942073707501107
0.22263651002189885,0.20238662949033,0.16379506504176972,0.21097728154661088,0.2059368319021072,0.20569429099833936,0.1841705871050698,0.21679151627906385,0.07630115300782749,0.09894647686536052,0.14141134323704946,0.01102975111438007,0.12167810255661583,0.10977992474058118,0.10661259411345758,0.13932381215012266,0.22238522335512767,0.1488695475830667,0.10711050506194413,0.1852141125227527,0.21667129813822303,0.12056386391512726
0.2201660741275346,0.16379506504176972,0.22225519840996277,0.19550142669070575,0.1967255917149772,0.20710712681600857,0.1866515762914648,0.1974097088892106,0.04607253931792817,0.04789183017107962,0.11514690763329612,-0.01839136159076066,0.07717156019764526,0.0934997701764766,0.07449103886448728,0.1430942204792052,0.20046966629255705,0.1476977001824215,0.10872331203094374,0.16600507750472432,0.18983824873101335,0.0991617719149505
0.2711723893708279,0.21097728154661088,0.19550142669070575,0.27544278110470827,0.23065593736732048,0.2494114154564492,0.21152188892507973,0.2553376283848661,0.0635766994399803,0.08761765070956719,0.15913346995974983,0.02131352198275147,0.16316204952452829,0.1325927794342616,0.13106740323488142,0.13482354116058642,0.2621557206396641,0.1452109114318175,0.11194763491114876,0.23473804196323164,0.2531787782667552,0.13528721452003206
0.24650940479479533,0.2059368319021072,0.1967255917149772,0.23065593736732048,0.24713172680304787,0.23079033595493703,0.210215077669133,0.23637522808568404,0.08067229070596198,0.1019997757471418,0.151765736640271,0.01927635411162051,0.14254850386608608,0.12990089149801928,0.12439207288904662,0.1681574394464371,0.2532898577912441,0.18107926801163593,0.1432562756081697,0.217417850639922,0.24406203519271655,0.136366577995234
0.25965119681492105,0.20569429099833936,0.20710712681600857,0.2494114154564492,0.23079033595493703,0.24426972110299447,0.21052761246191667,0.2421688665782669,0.06716694979549417,0.0876663063974384,0.1467444001392698,0.0091001281952078,0.13867743938971205,0.12298994719336225,0.11655582037978252,0.1531766186257308,0.2504030074635565,0.16276047455394516,0.12127680609209752,0.21612586098846617,0.24003240898485753,0.12884204468523822
0.2226744620456254,0.1841705871050698,0.1866515762914648,0.21152188892507973,0.210215077669133,0.21052761246191667,0.2091726268202156,0.21567458358672284,0.06011308555768195,0.0822399389537322,0.11783166940316214,0.00640881217037783,0.11535738285498282,0.11160326727985276,0.09856462049527652,0.14965950764258387,0.22015900324821336,0.15660645205005386,0.11570175747603736,0.18775122298729097,0.21184370993333135,0.11220730541744194
0.261756890584412,0.21679151627906385,0.1974097088892106,0.2553376283848661,0.23637522808568404,0.2421688665782669,0.21567458358672284,0.2566846821417704,0.07002873236862675,0.09874715302408014,0.15216918596073922,0.01086993799216399,0.1449896698180914,0.1281523973764912,0.12088192259783012,0.15447305692384664,0.2590836012518774,0.16816497709240671,0.11914434849079247,0.22498242292814977,0.2503365695894511,0.13641130104117136
0.07343091136142642,0.07630115300782749,0.04607253931792817,0.0635766994399803,0.08067229070596198,0.06716694979549417,0.06011308555768195,0.07002873236862675,0.26337688903427353,0.1083400176876606,0.04591024428779351,0.02200534027179903,0.05239999292675109,0.07541023690418372,0.07355601355311772,0.0821704835651944,0.07802681836656102,0.07860593046028996,0.05980768722412445,0.03795355623416326,0.07932989299011478,0.06166951386937522
0.09550894736453525,0.09894647686536052,0.04789183017107962,0.08761765070956719,0.1019997757471418,0.0876663063974384,0.0822399389537322,0.09874715302408014,0.1083400176876606,0.2570933524146331,0.09275311841335476,0.04406910767024225,0.09863161554723011,0.08020701512511123,0.18650507837478367,0.08279369409285388,0.12731726659529766,0.12158304456872764,0.08293772971496567,0.08658692651252842,0.11910289277531244,0.10392877710913166
0.1646664990114225,0.14141134323704946,0.11514690763329612,0.15913346995974983,0.151765736640271,0.1467444001392698,0.11783166940316214,0.15216918596073922,0.04591024428779351,0.09275311841335476,0.21186891204768063,0.01000490981023631,0.12444315066250142,0.0992117340291257,0.12136514233896124,0.09894034967448131,0.18456879864207423,0.10513294893040732,0.08781413736140996,0.1671909452975635,0.17730482702992134,0.10901325822790216
0.01060686246786658,0.01102975111438007,-0.01839136159076066,0.02131352198275147,0.01927635411162051,0.0091001281952078,0.00640881217037783,0.01086993799216399,0.02200534027179903,0.04406910767024225,0.01000490981023631,0.26034561059848743,0.05146644397501841,0.00757623961038399,0.06474085772602473,0.00362303811348941,0.03374935736315564,0.00404779343868563,0.01780972240045882,0.04282081407902414,0.02927248480326082,-0.00558209569362493
0.14319726564702945,0.12167810255661583,0.07717156019764526,0.16316204952452829,0.14254850386608608,0.13867743938971205,0.11535738285498282,0.1449896698180914,0.05239999292675109,0.09863161554723011,0.12444315066250142,0.05146644397501841,0.2357747954947129,0.1310392207680303,0.1591249897360639,0.07173459204817788,0.18677019748924645,0.0824038845035701,0.09211070240184338,0.18917063530349873,0.1824677156398231,0.11841622848488044
0.12382656841427672,0.10977992474058118,0.0934997701764766,0.1325927794342616,0.12990089149801928,0.12298994719336225,0.11160326727985276,0.1281523973764912,0.07541023690418372,0.08020701512511123,0.0992117340291257,0.00757623961038399,0.1310392207680303,0.15506268951737243,0.1156369313662048,0.09457909565894086,0.157945257467968,0.10616924206707516,0.0995965799843812,0.15486366830731904,0.15070512326549035,0.09919589538155248
0.1182817878945898,0.10661259411345758,0.07449103886448728,0.13106740323488142,0.12439207288904662,0.11655582037978252,0.09856462049527652,0.12088192259783012,0.07355601355311772,0.18650507837478367,0.12136514233896124,0.06474085772602473,0.1591249897360639,0.1156369313662048,0.2305055050451234,0.08146574218460359,0.16167714910835762,0.09577413231992268,0.09860351657784204,0.16066879649108623,0.1502396210784359,0.11340088063923676
0.1563670368401815,0.13932381215012266,0.1430942204792052,0.13482354116058642,0.1681574394464371,0.1531766186257308,0.14965950764258387,0.15447305692384664,0.0821704835651944,0.08279369409285388,0.09894034967448131,0.00362303811348941,0.07173459204817788,0.09457909565894086,0.08146574218460359,0.19300459919981405,0.17359649783180953,0.16356180117252722,0.12782313559299108,0.13810494133757417,0.16620891331581353,0.09126940744876567
0.2653193361620836,0.22238522335512767,0.20046966629255705,0.2621557206396641,0.2532898577912441,0.2504030074635565,0.22015900324821336,0.2590836012518774,0.07802681836656102,0.12731726659529766,0.18456879864207423,0.03374935736315564,0.18677019748924645,0.157945257467968,0.16167714910835762,0.17359649783180953,0.32961329823134067,0.21477909580433108,0.15766485379921327,0.2895966236652922,0.31219803300104565,0.16121868099193634
0.1752473434872604,0.1488695475830667,0.1476977001824215,0.1452109114318175,0.18107926801163593,0.16276047455394516,0.15660645205005386,0.16816497709240671,0.07860593046028996,0.12158304456872764,0.10513294893040732,0.00404779343868563,0.0824038845035701,0.10616924206707516,0.09577413231992268,0.16356180117252722,0.21477909580433108,0.2449361871155832,0.14260943078620222,0.17588090582711507,0.19960320962784403,0.1200175210517556
0.12425056268243172,0.10711050506194413,0.10872331203094374,0.11194763491114876,0.1432562756081697,0.12127680609209752,0.11570175747603736,0.11914434849079247,0.05980768722412445,0.08293772971496567,0.08781413736140996,0.01780972240045882,0.09211070240184338,0.0995965799843812,0.09860351657784204,0.12782313559299108,0.15766485379921327,0.14260943078620222,0.1862880015445656,0.13862870242301728,0.15036340570283727,0.09397686742225214
0.22582005347337025,0.1852141125227527,0.16600507750472432,0.23473804196323164,0.217417850639922,0.21612586098846617,0.18775122298729097,0.22498242292814977,0.03795355623416326,0.08658692651252842,0.1671909452975635,0.04282081407902414,0.18917063530349873,0.15486366830731904,0.16066879649108623,0.13810494133757417,0.2895966236652922,0.17588090582711507,0.13862870242301728,0.3019028906686294,0.271156242137389,0.14201003731538445
0.2557283173706051,0.21667129813822303,0.18983824873101335,0.2531787782667552,0.24406203519271655,0.24003240898485753,0.21184370993333135,0.2503365695894511,0.07932989299011478,0.11910289277531244,0.17730482702992134,0.02927248480326082,0.1824677156398231,0.15070512326549035,0.1502396210784359,0.16620891331581353,0.31219803300104565,0.19960320962784403,0.15036340570283727,0.271156242137389,0.30407343133878,0.15540391821591873
0.13942073707501107,0.12056386391512726,0.0991617719149505,0.13528721452003206,0.136366577995234,0.12884204468523822,0.11220730541744194,0.13641130104117136,0.06166951386937522,0.10392877710913166,0.10901325822790216,-0.00558209569362493,0.11841622848488044,0.09919589538155248,0.11340088063923676,0.09126940744876567,0.16121868099193634,0.1200175210517556,0.09397686742225214,0.14201003731538445,0.15540391821591873,0.17100581983078217
