S5E,SSMI,IBEX,GDAXI,FTSE,FCHI,BFX,AEX,SSEC,NSEI,N225,KSE,KS11,HSI,BSESN,AORD,SPX,RUT,MXX,IXIC,DJI,BVSP
1,0.9636436971608932,0.947315219367632,1,0.9619353117341366,0.9946449911174468,0.9208991143226924,0.9858929158068394,0.3633689919797856,0.4871649690786172,0.7043848430438285,0.12704336655296283,0.647214979720628,0.6355369717366334,0.5488806345049965,0.7511612469861698,0.8860063011524735,0.7995270974280145,0.6556923891939672,0.8429146251526332,0.8925818804618597,0.6669855710170832
0.9636436971608932,1,0.8749219557045241,0.9095523186434904,0.896379272904616,0.9422217088863905,0.9152104358885108,0.960658022630594,0.32322338313863,0.5215924790776425,0.6911210821284641,0.09069701714197533,0.5807125517133345,0.6427385484607436,0.58623851022216,0.7480026579225874,0.8901008820381296,0.779388116546806,0.6389196746056454,0.8304952527733787,0.8982757455869173,0.6319566336412971
0.947315219367632,0.8749219557045241,1,0.907127207936804,0.879668694162927,0.9287938418828444,0.8953860528450517,0.9215794687495714,0.3054971713660243,0.47558967213441744,0.6046277883031075,0.11155836185594656,0.5656132625785045,0.5790191247628688,0.546718859917641,0.6989564782118454,0.8421068078979459,0.7601629252920118,0.6332448857912859,0.8068141084365482,0.8367506180775173,0.6606292940905756
1,0.9095523186434904,0.907127207936804,1,0.9120209989014584,0.9836775003880132,0.9256537781452924,0.9794173073190968,0.3596005587766633,0.4912135621524885,0.6357883568522489,0.1202720566508779,0.6110432043000338,0.6645516556948194,0.566970676858833,0.7449767669826477,0.8855216412895354,0.7873966068155448,0.6534544630028071,0.848097496872832,0.892627173079745,0.6359035607569707
0.9619353117341366,0.896379272904616,0.879668694162927,0.9120209989014584,1,0.9258856989086324,0.8818263643394822,0.9293028291769446,0.30382066138286523,0.5061373419622636,0.6870802045776885,0.14213313526202773,0.6042471418630821,0.5974614673162132,0.5739679924779231,0.7247695960313555,0.8768287732951072,0.7978991858575205,0.6791810384816932,0.8297037774841141,0.8763059552078876,0.660106995017013
0.9946449911174468,0.9422217088863905,0.9287938418828444,0.9836775003880132,0.9258856989086324,1,0.9143428676496352,0.9627494521371848,0.34616354669727134,0.48883971686866234,0.6472063645384311,0.11370455782412096,0.6332701968378666,0.6333872098023866,0.5611189094398688,0.7412877577098779,0.880183172218039,0.7870591965560496,0.6442627459160454,0.846661018763066,0.8865069312614895,0.6660755444486062
0.9208991143226924,0.9152104358885108,0.8953860528450517,0.9256537781452924,0.8818263643394822,0.9143428676496352,1,0.9237242539190744,0.3300854220699193,0.4997453787559594,0.6075479170223234,0.11929941865003274,0.6055569941899528,0.6264312678455031,0.5684351074433053,0.7381855813620114,0.843890437320629,0.7511637023219141,0.6214613967179002,0.8075124641736826,0.8484889706502272,0.6445076250574693
0.9858929158068394,0.960658022630594,0.9215794687495714,0.9794173073190968,0.9293028291769446,0.9627494521371848,0.9237242539190744,1,0.32401556836629064,0.5026398946275479,0.6546680191787159,0.1047798584420594,0.616600409330371,0.639347907977444,0.5713691925420937,0.7529686865734765,0.8995149608303065,0.8000582070732573,0.6454173031112029,0.8616944319043065,0.9019514229140662,0.6768437704846705
0.3633689919797856,0.32322338313863,0.3054971713660243,0.3596005587766633,0.30382066138286523,0.34616354669727134,0.3300854220699193,0.32401556836629064,1,0.1631949540881815,0.24248280270117537,0.09980842765490616,0.4045986347540021,0.42389400921763193,0.2683683245206668,0.2334926036612545,0.2910791644196333,0.2589595598870836,0.23327523008021292,0.33033331331162696,0.3063014685035944,0.24888031069415548
0.4871649690786172,0.5215924790776425,0.47558967213441744,0.4912135621524885,0.5061373419622636,0.48883971686866234,0.4997453787559594,0.5026398946275479,0.1631949540881815,1,0.4620897856596582,0.09080442053307532,0.41600116533537845,0.46609126470700835,0.8888226080010547,0.4648642790478989,0.5248632484560214,0.4941838079022159,0.4270377386633328,0.5159812817581907,0.5020883008600628,0.4448329401547027
