par,val
a_AEX,1.267269883852044
a_AORD,3.178341797281821
a_BFX,1.6707913410696775
a_BSESN,1.3271183425409006
a_BVSP,2.4989310084108194
a_DJI,1.217132436898401
a_FCHI,1.2936147187383675
a_FTSE,1.4348078116766023
a_GDAXI,1.4552362002610393
a_HSI,2.0340978044972524
a_IBEX,1.7005908809063774
a_IXIC,1.1326347714943756
a_KS11,1.6345526670375068
a_KSE,5.495687216777243
a_MXX,2.2213522983358667
a_N225,1.4624456221422812
a_NSEI,0.25724570533973196
a_RUT,1.3076736626689907
a_SPX,1.1884625529849318
a_SSEC,1.6435960811965877
a_SSMI,1.7648753931690415
a_STOXX50E,1.1956352744733745
nu_AEX,0.7985377534168723
nu_AORD,0.9577406055366104
nu_BFX,0.7711256534351192
nu_BSESN,0.7599569723845259
nu_BVSP,0.7159662243449619
nu_DJI,0.8563258493548365
nu_FCHI,0.7814869816906108
nu_FTSE,0.7970758351747192
nu_GDAXI,0.8574832998751604
nu_HSI,0.7145746486106046
nu_IBEX,0.8044591317160936
nu_IXIC,0.8579246704202341
nu_KS11,0.8449665810197222
nu_KSE,1.2829747976736792
nu_MXX,0.7441752988324896
nu_N225,0.721358031871786
nu_NSEI,0.6314900095042316
nu_RUT,0.7975019260456769
nu_SPX,0.8938872485427708
nu_SSEC,0.8821342061170298
nu_SSMI,0.7775990328202348
nu_STOXX50E,0.8100950445262728
H_AEX,0.19052177828587777
H_AORD,0.3390054096125274
H_BFX,0.2159370796824753
H_BSESN,0.1725861433091485
H_BVSP,0.18170923923409618
H_DJI,0.18044952632808417
H_FCHI,0.18819853163955294
H_FTSE,0.19931235598540872
H_GDAXI,0.20263749511522436
H_HSI,0.2540662697158231
H_IBEX,0.2027697358203892
H_IXIC,0.16702839113469206
H_KS11,0.26673097548668745
H_KSE,0.38538682888188364
H_MXX,0.1600172688340567
H_N225,0.23149270094050184
H_NSEI,0.13229116467678356
H_RUT,0.15751535118231932
H_SPX,0.18068291045459206
H_SSEC,0.23576104433913347
