par,v0,val
a_AEX,0.6023795172317701,1.3319001614590331
a_AORD,6.394086303443416e-8,2.5230306611026383
a_BFX,0.41661559290713573,1.7385563519772962
a_BSESN,2.5043596175723937,1.4093316935497857
a_BVSP,6.245356701143388,2.6542432570975842
a_DJI,0.013765963274118095,1.292501175688661
a_FCHI,0.47805836119016626,1.3160659701464479
a_FTSE,0.05281360522749841,1.445795858075027
a_GDAXI,0.23033412232900233,1.4705930807732792
a_HSI,7.326779697027119e-6,1.851967008087005
a_IBEX,1.294215023356477,1.7363833309717436
a_IXIC,2.024534593910414,1.1622298850260022
a_KS11,0.015346006458696894,2.0041856081620786
a_KSE,6.1896632840517976,4.262802628163645
a_MXX,0.005514711548132365,2.41302197856842
a_N225,1.0276333491248946,1.7680424780419768
a_NSEI,0.9418381222161603,0.13588612860775828
a_RUT,0.8859332600680088,1.559439960001647
a_SPX,0.1988782088565839,1.2243833462971339
a_SSEC,2.4687157177131933,2.279651157164852
a_SSMI,0.6254951705563496,1.836840183951912
a_STOXX50E,0.697823237051796,1.355175355196961
nu_AEX,0.7015632023520768,0.8062066518366762
nu_AORD,0.4457726523599691,0.8614744522512632
nu_BFX,0.6153517429962294,0.7782038555314776
nu_BSESN,0.8724243144688758,0.7625611055748353
nu_BVSP,0.8765681377369636,0.7293564045245167
nu_DJI,0.5727064153038125,0.8674957717416997
nu_FCHI,0.6639724771206771,0.7812350830054031
nu_FTSE,0.5738512551177418,0.7946910786817223
nu_GDAXI,0.6397198502081919,0.855696408636584
nu_HSI,0.371431322987243,0.6938277369216159
nu_IBEX,0.7369183762189431,0.8080041808919471
nu_IXIC,0.9525481154498792,0.8598933483101661
nu_KS11,0.4861055444765562,0.9128376204412981
nu_KSE,1.092953647042053,1.0445108672491557
nu_MXX,0.5041411552007447,0.7575778036004117
nu_N225,0.6982390189371414,0.7670887767552212
nu_NSEI,0.7676700147698537,0.5951962078393332
nu_RUT,0.7384230160071169,0.8329898978730824
nu_SPX,0.693628772972078,0.89801192798552
nu_SSEC,0.9405562248896382,0.9894944049984747
nu_SSMI,0.6205277464035317,0.7854203230502378
nu_STOXX50E,0.748097762409544,0.8326713071895978
H_AEX,0.15140042324341418,0.19435945750673755
H_AORD,0.02616123505566527,0.2832602770269875
H_BFX,0.13759153046543182,0.22345077253472082
H_BSESN,0.18763752163381353,0.18815798487239893
H_BVSP,0.18848080550847213,0.1641165138123742
H_DJI,0.08280573931926388,0.18303385742389708
H_FCHI,0.14259741349270935,0.19430255786471615
H_FTSE,0.08599392883042548,0.20809548737485692
H_GDAXI,0.12966865810303296,0.21265683551890582
H_HSI,0.041088895395146596,0.25877727145555807
H_IBEX,0.1711448999954521,0.20730510607004837
H_IXIC,0.2058633295478773,0.17054357205893475
H_KS11,0.10421613422817533,0.39328886046292827
H_KSE,0.18940007131092237,0.25812962137660794
H_MXX,0.05151225267032547,0.16371085167246316
H_N225,0.1448100585918149,0.2058130725202973
H_NSEI,0.1438222734751623,0.11759181777537908
H_RUT,0.12674444702426188,0.15233227788680692
H_SPX,0.12709733144428653,0.18460549101788085
H_SSEC,0.1958649716933972,0.35737379975313543
H_SSMI,0.1620777156102127,0.24397274472745709
H_STOXX50E,0.11898641360249985,0.15693471987567156
rho_AEX/AORD,0.10116737914068437,0.6713174116342243
rho_AEX/BFX,0.6991916586116158,0.9342253654051632
rho_AEX/BSESN,0.15419950554066372,0.47247783139517907
rho_AEX/BVSP,0.19878818595880302,0.6717904675943375
rho_AEX/DJI,0.3343788014414386,0.8938689730342992
rho_AEX/FCHI,0.843450590920166,0.9692481973822854
rho_AEX/FTSE,0.49073058766742683,0.9413428857980596
rho_AEX/GDAXI,0.6878260614396798,0.9556766765209553
rho_AEX/HSI,0.1685274343977496,0.6453098663130441
rho_AEX/IBEX,0.6820650184522218,0.8038044372177564
rho_AEX/IXIC,0.36376091404326166,0.7910061195831964
rho_AEX/KS11,0.11620548926422959,0.5698208582047591
rho_AEX/KSE,-0.009837620669792602,0.03697522290390982
rho_AEX/MXX,0.21959267132581384,0.5373842908230618
rho_AEX/N225,0.16089419987621636,0.6470314990033712
rho_AEX/NSEI,0.13646290877349065,0.45973677041738303
rho_AEX/RUT,0.2298836334801573,0.6309509870181448
rho_AEX/SPX,0.36749492499035774,0.8883087132411367
rho_AEX/SSEC,0.07790939906934709,0.263442773367438
rho_AEX/SSMI,0.6322502069583448,0.9483611217708614
rho_AEX/STOXX50E,0.64664200691068,0.978115557441044
rho_AORD/BFX,0.10229761889269419,0.7418607549619992
rho_AORD/BSESN,0.0675152839057902,0.33071821388635986
rho_AORD/BVSP,0.012465247281192396,0.4902107406188039
rho_AORD/DJI,-0.033282588787776374,0.6453021831680423
rho_AORD/FCHI,0.09564395045742967,0.6858290747120395
rho_AORD/FTSE,0.17657934626583258,0.7716120943823315
rho_AORD/GDAXI,0.10473799713887695,0.5376745942323552
rho_AORD/HSI,0.20308402720271218,0.540786761534485
rho_AORD/IBEX,0.08989329324555964,0.6832677288152205
rho_AORD/IXIC,0.05705877592528726,0.5108205207932333
rho_AORD/KS11,0.06820532222510196,0.2840823791527731
rho_AORD/KSE,0.028122382156456193,-0.018822324161156714
rho_AORD/MXX,0.0025729745244924347,0.7185554952827381
rho_AORD/N225,0.2308474216515429,0.44950130634452634
rho_AORD/NSEI,0.058447710186493834,0.39411580424912446
rho_AORD/RUT,0.002121802400061454,0.7427342510183688
rho_AORD/SPX,-0.011669082891041448,0.6477548520943164
rho_AORD/SSEC,0.07078999462668135,0.3905723385635379
rho_AORD/SSMI,0.09624589894243948,0.6922991537288061
rho_AORD/STOXX50E,0.13947223007741488,0.6360048209656355
rho_BFX/BSESN,0.14295081774018684,0.40863243986405007
rho_BFX/BVSP,0.15354412669564485,0.591131975939718
