par,val
var_AEX,0.2566846821417704
var_AORD,0.19300459919981405
var_BFX,0.20917262682021562
var_BSESN,0.2305055050451234
var_BVSP,0.17100581983078217
var_DJI,0.30407343133878
var_FCHI,0.24426972110299447
var_FTSE,0.24713172680304787
var_GDAXI,0.27544278110470827
var_HSI,0.15506268951737243
var_IBEX,0.22225519840996275
var_IXIC,0.3019028906686294
var_KS11,0.2357747954947129
var_KSE,0.26034561059848743
var_MXX,0.18628800154456562
var_N225,0.21186891204768066
var_NSEI,0.2570933524146331
var_RUT,0.24493618711558318
var_SPX,0.32961329823134067
var_SSEC,0.26337688903427353
var_SSMI,0.20238662949032998
var_STOXX50E,0.27924508933078945
nu_AEX,0.7753596234854573
nu_AORD,0.7511913165730498
nu_BFX,0.7445752116577475
nu_BSESN,0.706277640246642
nu_BVSP,0.7413680988491862
nu_DJI,0.848322656490257
nu_FCHI,0.7472083519795795
nu_FTSE,0.7541093213861865
nu_GDAXI,0.7711148077234538
nu_HSI,0.7155606819342175
nu_IBEX,0.6891023845133548
nu_IXIC,0.8266847692730431
nu_KS11,0.692947327820277
nu_KSE,0.8069055730279063
nu_MXX,0.711964096043042
nu_N225,0.7028083059660697
nu_NSEI,0.6544695584382857
nu_RUT,0.7938853457260099
nu_SPX,0.8952880394982845
nu_SSEC,0.7853049885216785
nu_SSMI,0.7239881397590568
nu_STOXX50E,0.7903612671438701
H_AEX,0.18839679859974104
H_AORD,0.2595381663211436
H_BFX,0.21422014983397486
H_BSESN,0.16081848788487538
H_BVSP,0.17321312903352495
H_DJI,0.17841837680691966
H_FCHI,0.18145156862295264
H_FTSE,0.1775010681089434
H_GDAXI,0.18556709088325163
H_HSI,0.27112946432379886
H_IBEX,0.18792680993090888
H_IXIC,0.18188926386414217
H_KS11,0.2439398051123741
H_KSE,0.13714426908030372
H_MXX,0.1624286588747882
H_N225,0.16871816329374797
H_NSEI,0.14419376574248535
H_RUT,0.1915985161154749
H_SPX,0.1899938427292866
H_SSEC,0.2320776012706071
H_SSMI,0.22607313928567457
H_STOXX50E,0.14946560132148937
cov_AEX/AORD,0.15447305692384664
cov_AEX/BFX,0.21567458358672284
cov_AEX/BSESN,0.12088192259783012
cov_AEX/BVSP,0.13641130104117136
cov_AEX/DJI,0.2503365695894511
cov_AEX/FCHI,0.2421688665782669
cov_AEX/FTSE,0.23637522808568404
cov_AEX/GDAXI,0.2553376283848661
cov_AEX/HSI,0.1281523973764912
cov_AEX/IBEX,0.1974097088892106
cov_AEX/IXIC,0.22498242292814977
cov_AEX/KS11,0.1449896698180914
cov_AEX/KSE,0.01086993799216399
cov_AEX/MXX,0.11914434849079249
cov_AEX/N225,0.15216918596073922
cov_AEX/NSEI,0.09874715302408014
cov_AEX/RUT,0.16816497709240671
cov_AEX/SPX,0.2590836012518774
cov_AEX/SSEC,0.07002873236862675
cov_AEX/SSMI,0.21679151627906385
cov_AEX/STOXX50E,0.261756890584412
cov_AORD/BFX,0.14965950764258387
cov_AORD/BSESN,0.08146574218460359
cov_AORD/BVSP,0.09126940744876567
cov_AORD/DJI,0.16620891331581353
cov_AORD/FCHI,0.15317661862573081
cov_AORD/FTSE,0.1681574394464371
cov_AORD/GDAXI,0.13482354116058642
cov_AORD/HSI,0.09457909565894086
cov_AORD/IBEX,0.1430942204792052
cov_AORD/IXIC,0.13810494133757417
cov_AORD/KS11,0.07173459204817788
cov_AORD/KSE,0.003623038113489419
cov_AORD/MXX,0.12782313559299108
cov_AORD/N225,0.09894034967448131
cov_AORD/NSEI,0.08279369409285388
cov_AORD/RUT,0.16356180117252722
cov_AORD/SPX,0.17359649783180953
cov_AORD/SSEC,0.0821704835651944
cov_AORD/SSMI,0.13932381215012266
cov_AORD/STOXX50E,0.1563670368401815
cov_BFX/BSESN,0.09856462049527652
cov_BFX/BVSP,0.11220730541744194
cov_BFX/DJI,0.21184370993333135
cov_BFX/FCHI,0.21052761246191667
cov_BFX/FTSE,0.210215077669133
cov_BFX/GDAXI,0.21152188892507973
cov_BFX/HSI,0.11160326727985277
cov_BFX/IBEX,0.1866515762914648
cov_BFX/IXIC,0.18775122298729097
cov_BFX/KS11,0.11535738285498282
cov_BFX/KSE,0.00640881217037783
cov_BFX/MXX,0.11570175747603735
cov_BFX/N225,0.11783166940316214
cov_BFX/NSEI,0.0822399389537322
cov_BFX/RUT,0.15660645205005386
cov_BFX/SPX,0.22015900324821336
cov_BFX/SSEC,0.06011308555768195
cov_BFX/SSMI,0.1841705871050698
cov_BFX/STOXX50E,0.2226744620456254
cov_BSESN/BVSP,0.11340088063923677
cov_BSESN/DJI,0.1502396210784359
cov_BSESN/FCHI,0.11655582037978253
cov_BSESN/FTSE,0.12439207288904662
cov_BSESN/GDAXI,0.13106740323488142
cov_BSESN/HSI,0.11563693136620479
cov_BSESN/IBEX,0.07449103886448728
cov_BSESN/IXIC,0.16066879649108623
cov_BSESN/KS11,0.1591249897360639
cov_BSESN/KSE,0.06474085772602473
cov_BSESN/MXX,0.09860351657784203
cov_BSESN/N225,0.12136514233896123
cov_BSESN/NSEI,0.18650507837478367
cov_BSESN/RUT,0.09577413231992268
cov_BSESN/SPX,0.16167714910835762
cov_BSESN/SSEC,0.07355601355311772
cov_BSESN/SSMI,0.10661259411345758
cov_BSESN/STOXX50E,0.11828178789458979
cov_BVSP/DJI,0.15540391821591873
cov_BVSP/FCHI,0.12884204468523822
